parameterType,parameterType & Tube#,,,Tube/Filter#,MULakeNumber,Depth,Date,Time,beginDepth,endDepth,Replicate,unit,parameterValue,Rerun?,still too high?,waterBody,samplingSite,parameterValueQCCodeDesc,
TN,TN319 ,,,319,036,EPI,2024-06-07,11:35:00 AM,0,2,,ug/L,200,,,Clearwater,Clearwater 1,,
TN,TN320 ,,,320,036,EPI,2024-06-07,11:35:00 AM,0,2,,ug/L,230,,,Clearwater,Clearwater 1,,
TN,TN321 ,,,321,036,EPI,2024-06-07,11:35:00 AM,0,2,,ug/L,260,,,Clearwater,Clearwater 1,,
TN,TN316 ,,,316,036,SURF,2024-06-07,11:35:00 AM,0,0,,ug/L,210,,,Clearwater,Clearwater 1,,
TN,TN317 ,,,317,036,SURF,2024-06-07,11:35:00 AM,0,0,,ug/L,300,,,Clearwater,Clearwater 1,,
TN,TN318 ,,,318,036,SURF,2024-06-07,11:35:00 AM,0,0,,ug/L,270,,,Clearwater,Clearwater 1,,
TN,TN661 ,,,661,036,EPI,2024-06-26,9:37:00 AM,0,3.078,,ug/L,230,,,Clearwater,Clearwater 1,,
TN,TN662 ,,,662,036,EPI,2024-06-26,9:37:00 AM,0,3.078,,ug/L,210,,,Clearwater,Clearwater 1,,
TN,TN663 ,,,663,036,EPI,2024-06-26,9:37:00 AM,0,3.078,,ug/L,190,,,Clearwater,Clearwater 1,,
TN,TN658 ,,,658,036,SURF,2024-06-26,9:37:00 AM,0,0,,ug/L,210,,,Clearwater,Clearwater 1,,
TN,TN659 ,,,659,036,SURF,2024-06-26,9:37:00 AM,0,0,,ug/L,160,,,Clearwater,Clearwater 1,,
TN,TN660 ,,,660,036,SURF,2024-06-26,9:37:00 AM,0,0,,ug/L,200,,,Clearwater,Clearwater 1,,
TN,TN1075 ,,,1075,036,EPI,2024-07-24,9:54:00 AM,0,4.364,,ug/L,250,,,Clearwater,Clearwater 1,,
TN,TN1076 ,,,1076,036,EPI,2024-07-24,9:54:00 AM,0,4.364,,ug/L,240,,,Clearwater,Clearwater 1,,
TN,TN1735 ,,,1735,036,EPI,2024-07-24,9:54:00 AM,0,4.364,,ug/L,210,,,Clearwater,Clearwater 1,,
TN,TN1736 ,,,1736,036,EPI,2024-07-24,9:54:00 AM,0,4.364,,ug/L,220,,,Clearwater,Clearwater 1,,
TN,TN1737 ,,,1737,036,EPI,2024-07-24,9:54:00 AM,0,4.364,,ug/L,190,,,Clearwater,Clearwater 1,,
